Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
1,10,Slow,1183750,1346899,8.8,7.2,3.2,8.5,16.3,0.410688,18364.3,15365.3,0.000333
2,5,Buzz,1603242,1607306,18.1,31.9,11.6,11.6,17.4,0.022727,7837.6,13482.7,0.000249
3,6,Slow,2289967,2376536,5.2,3.3,4.5,4.0,8.9,0.391986,13247.5,10476.3,0.000514
4,5,Slow,2859774,2940834,22.0,22.3,8.4,38.2,19.0,0.459184,8992.2,15153.4,0.000272
5,14,Fast,3426812,3567641,3.3,1.8,4.5,3.6,3.2,0.245278,8251.3,10320.1,0.000342
6,6,Slow,3716289,3814114,3.7,2.7,3.9,4.5,3.6,0.443202,9147.5,11922.4,0.000374
7,11,Unclassified,4240424,4656913,2.3,1.1,2.2,3.4,2.5,0.944032,9495.8,11458.3,0.000353
8,5,Unclassified,5753312,5975665,5.2,2.1,6.2,7.2,5.3,1.260119,7243.2,11666.5,0.000308
9,5,Fast,7148061,7184895,3.7,2.6,4.3,4.1,3.8,0.208430,8127.4,14136.8,0.000304
10,5,Fast,8962019,9004469,4.6,4.2,2.4,7.7,4.2,0.240295,10466.4,13968.8,0.000281
11,7,Slow,11674998,11776253,5.6,1.7,4.1,8.5,8.3,0.382366,9116.9,14635.0,0.000262
12,6,Fast,13332208,13389349,3.0,1.9,4.8,3.4,1.9,0.258753,8131.8,13089.1,0.000325
13,6,Slow,13918430,14010177,9.3,9.6,4.7,10.6,12.4,0.415782,9720.7,13358.3,0.000253
14,5,Slow,14061330,14136123,10.9,20.2,6.9,11.0,5.7,0.423622,9029.2,13061.4,0.000299
15,5,Unclassified,14800393,15083264,5.1,2.0,6.0,6.5,5.8,1.603260,7796.0,14563.4,0.000254
16,6,Unclassified,15798438,16110460,2.2,1.5,2.2,2.4,2.9,1.414594,10000.2,11355.8,0.000393
17,29,Fast,16507005,16777936,7.0,2.3,3.8,17.3,4.8,0.219035,13234.7,16375.5,0.000364
18,8,Unclassified,18025408,18298546,4.9,1.7,4.2,7.9,5.9,0.884470,8966.4,13372.9,0.000289
19,8,Fast,18798286,18890953,3.4,2.5,2.8,4.4,4.1,0.299715,17821.9,13881.4,0.000411
20,16,Unclassified,21770967,22507382,2.0,0.8,1.8,2.5,3.1,1.112815,13123.2,11452.5,0.000408
21,38,Fast,23082704,23487841,3.1,1.7,2.7,4.4,3.4,0.247914,10791.1,11793.1,0.000368
22,16,Fast,23653172,23799379,5.8,1.4,5.5,11.8,4.7,0.220688,8170.9,13730.4,0.000315
23,12,Unclassified,25068717,26003788,3.0,0.9,3.3,4.1,3.8,1.927178,8982.8,12118.4,0.000372
24,6,Slow,26192786,26349143,4.6,2.8,9.6,4.4,1.5,0.708594,7301.2,13059.3,0.000423
25,7,Fast,26723265,26794783,10.2,6.7,6.4,21.7,5.9,0.269845,9037.3,13272.1,0.000379
26,15,Fast,27439627,27556563,5.5,2.7,2.9,12.4,3.8,0.189137,7910.3,15340.7,0.000246
27,6,Fast,27628472,27686593,10.3,5.9,3.9,25.0,6.2,0.263156,19476.5,15936.5,0.000359
28,7,Slow,29086722,29184284,7.9,1.9,11.4,13.5,4.9,0.368284,7318.7,13860.6,0.000369
29,7,Unclassified,29432828,29819214,2.1,1.1,2.1,3.0,2.2,1.459743,11689.1,10972.2,0.000447
30,6,Fast,30122033,30131579,8.2,3.0,17.0,6.8,5.8,0.042771,7177.2,11975.5,0.000435
31,11,Fast,30759346,30799586,11.2,23.5,5.5,7.9,7.8,0.090932,10698.7,14983.0,0.000287
32,16,Fast,30815520,30857584,6.5,2.4,2.6,12.2,8.6,0.063333,8199.0,15534.2,0.000240
33,17,Fast,31099052,31269116,3.3,1.0,2.5,6.5,3.2,0.240672,11648.1,14274.5,0.000328
34,6,Fast,31990150,32039791,4.4,7.5,2.5,3.9,3.7,0.224757,10424.0,12761.0,0.000310
35,16,Fast,32456714,32589083,2.6,1.0,2.2,4.4,2.8,0.199598,12685.6,12202.2,0.000475
36,5,Fast,35009654,35053565,3.0,3.6,4.1,3.0,1.2,0.248458,9391.8,13632.8,0.000376
37,5,Unclassified,35144204,35550985,2.8,2.4,3.5,2.4,3.0,2.305493,9989.2,7043.6,0.000417
38,12,Unclassified,36580941,36986197,2.4,1.5,1.8,4.8,1.3,0.834900,10082.8,12349.2,0.000465
39,11,Fast,37111815,37239627,4.2,1.7,5.4,6.4,3.4,0.289431,8312.0,12332.9,0.000357
40,7,Fast,38436230,38524272,2.6,3.0,3.1,2.1,2.1,0.332139,9191.3,9395.0,0.000512
41,20,Fast,38686256,38917558,4.0,2.3,4.5,6.0,3.3,0.275621,11816.5,13431.7,0.000407
42,49,Fast,39569643,39831937,2.7,0.8,2.2,5.4,2.3,0.123540,9839.1,13663.9,0.000363
43,5,Slow,39865966,39949902,2.3,2.2,2.3,3.0,1.8,0.475261,9764.0,12427.3,0.000454
44,12,Fast,40269146,40427061,2.7,1.4,1.8,4.3,3.3,0.325075,12309.8,12003.9,0.000418
45,5,Fast,42072743,42105136,5.0,2.1,3.5,7.4,7.0,0.183226,8520.2,13672.9,0.000327
46,5,Fast,42258692,42308189,11.7,3.5,6.0,34.1,3.3,0.280147,8158.6,15342.2,0.000358
47,8,Fast,42413185,42487852,3.6,3.4,4.3,3.4,3.3,0.241286,9648.2,13775.9,0.000516
48,15,Fast,42529435,42687735,5.2,1.1,2.1,11.0,6.7,0.256043,11198.4,12088.7,0.000331
49,9,Fast,42816937,42938677,6.5,8.5,3.3,7.8,6.5,0.344714,10216.9,14691.6,0.000315
50,15,Fast,43251602,43389898,3.9,1.6,2.1,5.7,6.3,0.223667,13326.5,14771.5,0.000308
51,108,Fast,43702030,44173487,2.7,0.9,2.1,5.9,2.0,0.099471,17587.7,14617.1,0.000437
52,6,Buzz,44355035,44355556,2.7,1.5,1.8,5.4,2.3,0.001864,12792.8,14077.1,0.000416
53,6,Buzz,44380331,44381151,2.9,2.1,1.7,6.0,1.9,0.003238,12436.2,14587.2,0.000401
54,6,Fast,44614922,44674315,7.7,13.1,4.7,7.5,5.7,0.269007,10315.5,13766.3,0.000291
55,6,Buzz,45219047,45220027,3.0,2.1,1.5,6.6,1.7,0.003850,13486.0,14297.3,0.000495
56,7,Fast,45348847,45427936,3.7,2.0,6.9,3.6,2.3,0.298447,9259.9,13087.8,0.000389
57,14,Fast,45477852,45555743,3.7,3.4,5.6,3.6,2.2,0.135531,8929.5,13762.3,0.000309
58,14,Fast,45570733,45744175,2.6,3.0,3.1,2.3,2.2,0.302011,10751.3,10663.5,0.000484
59,1009,Fast,46010921,47468956,2.1,1.1,2.4,2.4,2.5,0.032171,9246.1,7151.4,0.000628
60,23,Fast,47477613,47514366,4.5,1.4,8.8,4.2,3.6,0.037196,6752.6,5727.7,0.000656
61,5,Buzz,47521121,47526353,5.8,2.9,11.4,5.0,4.1,0.028957,7171.6,5804.9,0.000562
62,13,Fast,47529816,47551804,4.1,1.4,8.4,2.8,3.9,0.040805,7052.4,6432.3,0.000687
63,65,Fast,47564355,47659887,2.4,1.2,2.8,2.3,3.5,0.033261,7889.3,7350.6,0.000578
64,35,Buzz,47671845,47713005,3.0,1.6,3.8,3.5,3.3,0.026771,7226.3,5634.9,0.000660
65,72,Fast,47720790,47846959,5.7,1.4,11.0,6.8,3.7,0.039608,6771.2,5129.7,0.000677
66,14,Fast,47855207,47901155,6.4,1.6,14.0,5.6,4.3,0.079414,6596.6,5264.9,0.000680
67,6,Fast,47917997,47926030,9.5,1.8,25.2,7.9,3.0,0.035705,6523.2,5266.1,0.000605
68,9,Fast,47934708,47959065,3.4,2.0,3.7,2.6,5.4,0.068138,7440.6,5721.8,0.000801
69,7,Fast,47974227,47988481,2.3,1.6,1.2,1.9,4.3,0.053190,9338.4,7649.3,0.000583
70,28,Fast,47998959,48104872,5.6,1.4,14.8,2.4,3.8,0.088278,6571.3,5496.2,0.000648
71,84,Fast,48153467,48576035,2.1,1.0,2.2,2.3,3.1,0.114909,9004.5,8504.0,0.000530
72,18,Fast,48634483,48764226,2.9,1.2,4.4,2.3,3.6,0.172446,6901.8,6578.1,0.000579
73,5,Fast,48939633,48962976,7.2,2.2,17.5,5.2,3.9,0.131497,6512.6,5203.0,0.000667
74,5,Fast,49029762,49044288,5.4,2.2,15.2,1.8,2.4,0.081565,6490.6,6242.6,0.000626
75,125,Fast,49138019,49477176,2.0,0.8,2.0,1.9,3.3,0.061447,7807.3,6640.5,0.000569
76,5,Slow,50066826,50131063,6.2,9.7,4.0,5.5,5.8,0.363719,13012.4,12222.2,0.000349
77,5,Fast,50135701,50195068,9.2,5.9,3.0,23.7,4.0,0.336117,10779.6,14109.9,0.000345
78,6,Fast,50230382,50249931,6.4,2.9,6.0,12.6,3.9,0.088299,7550.0,14671.2,0.000299
79,9,Fast,50477907,50578117,3.2,2.3,2.6,2.7,5.1,0.283639,12759.7,12030.4,0.000358
80,6,Fast,50757753,50831374,2.5,1.3,1.9,3.0,3.7,0.333388,12840.8,12150.2,0.000412
