Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
1,7,Slow,68019,180012,1.7,1.9,1.8,2.3,0.8,0.422540,11839.6,12001.9,0.000612
2,10,Slow,1190719,1353868,8.8,7.2,3.2,8.5,16.3,0.410688,18363.7,15365.3,0.000333
3,5,Buzz,1610211,1614275,19.1,31.7,11.6,9.8,23.3,0.022715,7837.8,13120.4,0.000259
4,6,Slow,2296936,2383505,5.2,3.3,4.5,4.0,8.9,0.391986,13249.2,10476.3,0.000514
5,5,Slow,2866743,2947803,22.0,22.3,8.4,38.2,19.0,0.459184,8994.6,15153.4,0.000272
6,14,Fast,3433781,3574610,3.3,1.8,4.5,3.7,3.3,0.245276,8251.3,10274.0,0.000343
7,6,Slow,3723258,3821083,3.7,2.7,3.9,4.5,3.6,0.443202,9146.8,11922.4,0.000374
8,11,Unclassified,4247393,4663882,2.3,1.1,2.2,3.4,2.5,0.944032,9495.6,11458.3,0.000353
9,5,Unclassified,5760281,5982634,5.2,2.1,6.2,7.2,5.3,1.260119,7240.4,11666.5,0.000308
10,5,Fast,7155030,7191864,3.7,2.6,4.3,4.1,3.8,0.208430,8127.4,14136.8,0.000304
11,5,Fast,8968988,9011438,4.6,4.2,2.4,7.7,4.2,0.240295,10463.4,13968.8,0.000281
12,7,Slow,11681967,11783222,5.6,1.7,4.1,8.5,8.3,0.382366,9117.9,14635.0,0.000262
13,6,Fast,13339177,13396318,3.0,1.9,4.8,3.4,1.9,0.258753,8133.8,13089.1,0.000325
14,6,Slow,13925399,14017146,9.3,9.6,4.7,10.6,12.4,0.415782,9720.7,13358.3,0.000253
15,5,Slow,14068299,14143092,10.9,20.2,6.9,11.0,5.7,0.423622,9030.0,13061.4,0.000299
16,5,Unclassified,14807362,15090233,5.1,2.0,6.0,6.5,5.8,1.603260,7794.8,14563.4,0.000254
