Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
1,21,Fast,138169,410525,3.5,1.0,2.9,7.3,3.0,0.308271,11296.1,10732.7,0.000498
2,8,Unclassified,495565,933421,4.8,0.4,2.5,13.5,2.8,1.418027,9493.0,15812.8,0.000315
3,26,Fast,1090701,1160835,3.3,0.5,2.0,9.1,1.6,0.063232,12692.0,15572.7,0.000367
4,75,Fast,1189855,1530086,3.1,0.5,1.9,8.3,1.7,0.103797,14591.6,14595.1,0.000453
5,7,Unclassified,2323906,2866461,1.9,0.9,1.8,2.7,2.2,2.049970,11814.3,10026.0,0.000431
6,53,Fast,3270835,3529142,3.1,0.6,1.8,8.3,1.7,0.112166,13349.4,14132.9,0.000466
7,20,Fast,3628339,3733222,2.1,0.6,1.6,4.1,1.9,0.124693,11756.5,13055.7,0.000457
8,77,Slow,3842800,5693512,2.2,0.2,1.7,5.3,1.7,0.551686,12801.6,13076.7,0.000495
9,11,Fast,5782052,5865908,3.4,0.9,2.8,7.6,2.2,0.189621,13667.5,12433.6,0.000480
10,29,Slow,5976254,6513724,2.0,0.4,1.7,4.2,1.7,0.434725,11743.3,12674.0,0.000525
11,10,Slow,7059651,7289565,2.7,0.7,2.4,5.3,2.3,0.578896,9787.2,14753.1,0.000340
